figure	relative_path	figshare_url	notes
figure6h	reproducibility/figure6/data/wb_correlation/260725 WB_corrected_data_with Ponceau.csv	TODO_FIGSHARE_FILE_URL	Western blot band intensity table with Ponceau normalization values.
figure6h	reproducibility/figure6/data/wb_correlation/raw_counts_260310.csv	TODO_FIGSHARE_FILE_URL	Raw RNA-seq counts used upstream for the VMPA WB-correlation analysis.
figure6h	reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_none_unique_FALSE_raw_result.csv	TODO_FIGSHARE_FILE_URL	VMPA activity result table without additional normalization.
figure6h_6i	reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_sample_pop_sd_unique_FALSE_raw_result.csv	TODO_FIGSHARE_FILE_URL	VMPA activity result table with sample population-SD normalization; used for Figure 6h WB correlation and Figure 6i target-selection dotplots.
figure6h	reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_sample_z_unique_FALSE_raw_result.csv	TODO_FIGSHARE_FILE_URL	VMPA activity result table with sample z-score normalization.
figure6h	reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_signature_z_unique_FALSE_raw_result.csv	TODO_FIGSHARE_FILE_URL	VMPA activity result table with signature z-score normalization.
figure6j	reproducibility/figure6/data/apoptosis_pathway/COMPASS_glioma_protivity_GSVA_scores_sample_wise_population_sd.csv	TODO_FIGSHARE_FILE_URL	COMPASS glioma GSVA score matrix used for the Figure 6j intrinsic apoptosis pathway schematic.
figure6j	reproducibility/figure6/data/apoptosis_pathway/SigComLINCS_CRISPR_bottom300_GSVA_scores_sample_wise_population_sd.csv	TODO_FIGSHARE_FILE_URL	SigCom LINCS bottom-300 GSVA score matrix used for the Figure 6j MCL1 node in the intrinsic apoptosis pathway schematic.
figure6l_6n	reproducibility/figure6/data/caspase_dapi_response/source_data_well_summed_BN118R_BN91R.csv	TODO_FIGSHARE_FILE_URL	Well-summed caspase-3 and DAPI nuclei counts used to generate the Figure 6l and Figure 6n DT2216/temsirolimus response plots.
supplementary_figure4	reproducibility/supplementary_figure4/data/matched_family_benchmark/compass_effect_threshold_sets_matched_values_wide.csv	TODO_FIGSHARE_FILE_URL	Matched COMPASS/SigCom family correlation values used to generate Supplementary Figure 4 effect-threshold boxplot and signed dotplot panels.
supplementary_figure4	reproducibility/supplementary_figure4/data/matched_family_benchmark/compass_effect_threshold_sets_compass_sigcom_per_family_permutation_results.csv	TODO_FIGSHARE_FILE_URL	Per-family permutation benchmark results used to generate the Supplementary Figure 4 observed/expected ratio panel.
